time,open,close,high,low
2021-05-10 04:00:00+00:00,131.4,130.73,131.85,130.38
2021-05-10 05:00:00+00:00,130.73,130.74,130.84,130.65
2021-05-10 06:00:00+00:00,130.74,130.37,130.74,130.0
2021-05-10 07:00:00+00:00,130.38,129.97,130.38,129.32
2021-05-10 08:00:00+00:00,129.97,129.78,130.2,129.65
2021-05-10 09:00:00+00:00,129.77,130.0,130.0,129.63
2021-05-10 10:00:00+00:00,130.0,130.24,130.26,129.85
2021-05-10 11:00:00+00:00,130.18,129.8,130.19,129.7
2021-05-10 12:00:00+00:00,129.79,129.87,130.0,129.73
2021-05-10 13:00:00+00:00,129.86,128.45,130.04,128.18
2021-05-10 14:00:00+00:00,128.47,128.18,128.65,127.86
2021-05-10 15:00:00+00:00,128.19,128.53,128.54,127.9
2021-05-10 16:00:00+00:00,128.54,128.31,128.7,128.16
2021-05-10 17:00:00+00:00,128.32,128.05,128.5,127.97
2021-05-10 18:00:00+00:00,128.06,127.06,128.1,126.83
2021-05-10 19:00:00+00:00,127.06,126.86,127.5,126.81
2021-05-10 20:00:00+00:00,126.85,126.49,127.05,126.34
2021-05-10 21:00:00+00:00,126.49,126.4,126.7,126.33
2021-05-10 22:00:00+00:00,126.48,126.4,126.52,126.32
2021-05-11 04:00:00+00:00,125.69,125.95,126.3,125.51
2021-05-11 05:00:00+00:00,125.95,126.38,126.9,125.64
2021-05-11 06:00:00+00:00,126.38,125.22,126.38,125.15
2021-05-11 07:00:00+00:00,125.56,124.5,125.56,124.04
2021-05-11 08:00:00+00:00,124.56,124.64,125.24,124.16
2021-05-11 09:00:00+00:00,124.63,124.79,125.0,124.54
2021-05-11 10:00:00+00:00,124.79,124.37,124.79,124.17
2021-05-11 11:00:00+00:00,124.48,123.71,124.6,123.61
2021-05-11 12:00:00+00:00,123.71,123.01,123.93,122.9
2021-05-11 13:00:00+00:00,123.0,124.71,124.81,122.78
2021-05-11 14:00:00+00:00,124.71,124.24,124.71,123.26
2021-05-11 15:00:00+00:00,124.23,125.13,125.42,123.95
2021-05-11 16:00:00+00:00,125.13,124.96,125.72,124.74
2021-05-11 17:00:00+00:00,124.95,125.92,126.16,124.88
2021-05-11 18:00:00+00:00,125.93,125.74,126.27,125.52
2021-05-11 19:00:00+00:00,125.73,125.84,126.21,125.28
2021-05-11 20:00:00+00:00,125.84,125.65,126.05,125.53
2021-05-11 21:00:00+00:00,125.69,125.68,125.75,125.5
2021-05-11 22:00:00+00:00,125.66,125.69,125.9,125.61
2021-05-12 04:00:00+00:00,125.09,125.0,125.67,124.9
2021-05-12 05:00:00+00:00,125.01,125.21,125.41,125.01
2021-05-12 06:00:00+00:00,125.19,125.48,125.49,124.96
2021-05-12 07:00:00+00:00,125.48,125.99,126.07,125.2
2021-05-12 08:00:00+00:00,125.98,125.32,125.99,125.15
2021-05-12 09:00:00+00:00,125.32,125.2,125.48,124.96
2021-05-12 10:00:00+00:00,125.2,125.04,125.45,124.7
2021-05-12 11:00:00+00:00,124.98,125.19,125.29,124.86
2021-05-12 12:00:00+00:00,125.23,124.09,125.5,123.71
2021-05-12 13:00:00+00:00,124.05,123.97,124.64,123.09
2021-05-12 14:00:00+00:00,123.97,123.14,124.23,122.83
2021-05-12 15:00:00+00:00,123.13,122.81,123.58,122.71
2021-05-12 16:00:00+00:00,122.8,123.1,123.14,122.32
2021-05-12 17:00:00+00:00,123.1,122.71,123.44,122.61
